tot_flow [sccm],c2h2,c2h4,c2h6
10.0,0.0,687.9394522074999,3818.0213527140004
20.0,736.5570354975,1422.0649598865,3859.3629796075
30.0,1657.860238843,1633.551447198,3343.8085736415005
40.0,2503.806188089,1611.6735347175,2884.1869570020003
50.0,3257.378729084,1512.007488973,2570.4769646925
