gas_comp [frac],c2h2,c2h4,c2h6
"0.01C2H2
0.985Ar
0.005H2",2953.5188335215,0.0,0.0
"0.01C2H2
0.98Ar
0.01H2",4125.2025908105,65.633899605,0.0
"0.01C2H2
0.97Ar
0.02H2",2817.3896003095,1210.578472575,0.0
"0.01C2H2
0.94Ar
0.05H2",940.7508853155,3101.8024625559997,0.0
"0.01C2H2
0.89Ar
0.1H2",675.785056385,3446.9873039149998,0.0
"0.01C2H2
0.84Ar
0.15H2",583.411648134,3597.701812114,0.0
"0.01C2H2
0.79Ar
0.2H2",529.9323065149999,3709.5222536809997,0.0
