<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Blayne Hartman
<CLIENT ID>=N2278
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=1ml valve loop
<LAB ID>=
<DESCRIPTION>=FID
<COLUMN>=6' Haysep D
<CARRIER>=N2@10psi
<TEMPERATURE>=C:\Peak489Win10\CONTROL_FILE\RUN_temp.tem
<EVENTS>=C:\Peak489Win10\CONTROL_FILE\RUN_ch1.evt
<COMPONENTS>=C:\Peak489Win10\CONTROL_FILE\RUN_ch1_FID_COMP.cpt
<SAMPLE>=No injection ECD noise
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>=12-17-2020
<TIME>=13:19:30
<RATE>=5Hz
<SIZE>=3900
<SAMP WEIGHT>=100.000000
<STD WEIGHT>=4.000000
<CONTROL FILENAME>=C:\Peak489Win10\CONTROL_FILE\RUN.CON
3,3
-4,2
-15,-2
-24,-5
-34,-8
-37,-5
-39,0
-35,17
-35,30
-32,47
-28,64
-22,83
-14,105
-14,118
2,147
0,159
-4,168
2,187
-13,186
-19,193
-28,197
-49,190
-65,187
-72,193
-71,208
-68,224
-66,240
-68,251
-76,256
-91,255
-116,243
-149,223
-185,201
-220,179
-252,160
-275,151
-300,139
-325,127
-351,115
-380,99
-413,79
-444,62
-472,47
-503,29
-529,17
-552,7
-573,0
-564,15
-543,42
-533,58
-531,66
-556,47
-585,24
-601,14
-614,7
-624,3
-631,2
-640,0
-636,0
-631,0
-624,3
-615,7
-602,16
-590,24
-586,23
-578,27
-574,27
-564,32
-548,44
-532,56
-526,57
-532,47
-541,34
-550,20
-548,18
-538,24
-521,36
-506,47
-499,50
-500,44
-504,36
-510,26
-516,15
-522,5
-523,0
-521,6
-521,11
-518,19
-516,26
-516,31
-512,40
-507,50
-503,59
-493,74
-479,93
-475,102
-480,102
-487,100
-489,103
-485,112
-479,123
-475,132
-487,125
-498,119
-503,119
-504,123
-500,132
-498,139
-497,145
-507,139
-506,145
-512,144
-528,133
-538,128
-561,110
-576,100
-585,96
-586,100
-590,101
-601,95
-611,90
-635,71
-660,51
-681,35
-694,27
-705,21
-721,10
-726,10
-739,2
-750,-4
-757,-6
-764,-8
-766,-5
-766,0
-761,4
-760,4
-761,2
-763,0
-761,0
-754,1
-750,0
-743,0
-734,2
-729,0
-709,10
-685,24
-671,28
-659,30
-664,15
-670,0
-669,0
-667,2
-662,7
-661,7
-662,6
-665,3
-668,0
-660,0
-651,1
-639,5
-626,11
-625,4
-621,0
-608,5
-587,19
-551,47
-510,80
-472,111
-436,139
-407,160
-370,189
-339,213
-310,234
-273,263
-244,285
-213,308
-183,330
-161,344
-145,353
-133,357
-127,355
-111,364
-91,376
-79,380
-69,382
-83,361
-118,318
-149,279
-178,243
-197,216
-211,194
-226,171
-239,151
-259,123
-273,101
-283,84
-283,76
-280,71
-280,63
-280,56
-291,37
-305,15
-313,0
-308,6
-303,12
-298,19
-293,25
-298,21
-308,13
-315,7
-320,3
-325,0
-318,5
-310,11
-305,14
-298,19
-297,19
-296,18
-293,19
-290,20
-289,19
-293,14
-292,13
-292,11
-298,3
-300,0
-299,0
-294,3
-284,12
-255,40
-241,52
-234,58
-233,58
-251,38
-258,30
-262,25
-269,16
-274,10
-277,6
-282,0
-277,0
-269,0
-248,12
-206,46
-106,138
127,363
636,864
1659,1879
3479,3690
6393,6596
10596,10791
16107,16294
22683,22862
29834,30005
36883,37046
43097,43251
47933,48079
51121,51259
52746,52876
53171,53293
52829,52943
52091,52196
51172,51269
50143,50232
48989,49070
47692,47765
46249,46314
44672,44729
42964,43012
41141,41181
39229,39261
37246,37270
35246,35262
33257,33265
31318,31318
29433,29425
27612,27596
25891,25867
24244,24212
22698,22658
21272,21224
19933,19876
18697,18632
17569,17496
16522,16441
15566,15477
14694,14597
13884,13779
13142,13028
12458,12336
11836,11706
11272,11134
10755,10609
10273,10119
9828,9665
9418,9247
9030,8851
8676,8489
8345,8150
8035,7832
7760,7549
7507,7287
7264,7036
7032,6796
6813,6569
6599,6347
6403,6143
6220,5951
6051,5774
5895,5610
5743,5450
5598,5297
5463,5154
5327,5010
5196,4870
5072,4738
4951,4609
4845,4495
4757,4399
4669,4303
4595,4221
4543,4160
4499,4108
4458,4059
4421,4014
4366,3951
4302,3879
4242,3810
4164,3724
4098,3650
4043,3587
3986,3522
3947,3475
3913,3433
3881,3392
3854,3357
3801,3296
3717,3204
3619,3098
3518,2989
3434,2896
3368,2822
3309,2755
3252,2690
3207,2637
3163,2585
3120,2534
3083,2488
3041,2438
3003,2392
2972,2353
2931,2304
2886,2251
2847,2204
2817,2165
2799,2139
2785,2117
2764,2088
2744,2060
2718,2026
2685,1984
2661,1952
