<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Blayne Hartman
<CLIENT ID>=N2278
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=1ml valve loop
<LAB ID>=
<DESCRIPTION>=FID
<COLUMN>=6' Haysep D
<CARRIER>=N2@10psi
<TEMPERATURE>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN.tem
<EVENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1.evt
<COMPONENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1_FID_COMP.cpt
<SAMPLE>=No injection ECD noise
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>= 9-20-2021
<TIME>=20:22: 1
<RATE>=5Hz
<SIZE>=1950
<SAMP WEIGHT>=100.000000
<STD WEIGHT>=4.000000
<CONTROL FILENAME>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_TCD_off.CON
0,0
-2,-2
2,2
3,3
4,4
2,2
-1,-1
-2,-2
-1,-1
-1,-1
-3,-3
-1,-1
-1,-1
1,1
1,1
2,2
2,2
2,2
2,2
-5,-5
118,118
176,176
98,98
-34,-34
-136,-136
-134,-134
-104,-104
-73,-73
-55,-55
-41,-41
-27,-27
-19,-19
-14,-14
-10,-10
-7,-7
-7,-7
-6,-6
-5,-5
-4,-4
-3,-3
0,0
-1,-1
-1,-1
-3,-3
-4,-4
-3,-3
-5,-5
-8,-8
-12,-12
-15,-15
-15,-15
-16,-16
-15,-15
-15,-15
-17,-17
-20,-20
-17,-17
-21,-21
-22,-22
-25,-25
-27,-27
-25,-25
-28,-28
-29,-29
-30,-30
-33,-33
-28,-28
-28,-28
-28,-28
-30,-30
-33,-33
-31,-31
-34,-34
-36,-36
-35,-35
-37,-37
-38,-38
-39,-39
-40,-40
-36,-36
-37,-37
-37,-37
-40,-40
-39,-39
-38,-38
-37,-37
-37,-37
-42,-42
-44,-44
-45,-45
-43,-43
-42,-42
-44,-44
-48,-48
-48,-48
-49,-49
-50,-50
-48,-48
-46,-46
-46,-46
-48,-48
-47,-47
-50,-50
-49,-49
-51,-51
-52,-52
-55,-55
-61,-61
-59,-59
-59,-59
-56,-56
-54,-54
-60,-60
-61,-61
-64,-64
-66,-66
-63,-63
-65,-65
-64,-64
-63,-63
-69,-69
-68,-68
-70,-70
-69,-69
-66,-66
-67,-67
-67,-67
-67,-67
-67,-67
-66,-66
-65,-65
-69,-69
-70,-70
-69,-69
-66,-66
-66,-66
-65,-65
-67,-67
-71,-71
-74,-74
-72,-72
-78,-78
-72,-72
-74,-74
-70,-70
-70,-70
-76,-76
-79,-79
-83,-83
-77,-77
-78,-78
-77,-77
-80,-80
-79,-79
-81,-81
-80,-80
-75,-75
-76,-76
-78,-78
-81,-81
-74,-74
-76,-76
-73,-73
-73,-73
-73,-73
-70,-70
-64,-64
-59,-59
-56,-56
-56,-56
-56,-56
-53,-53
-58,-58
-64,-64
-72,-72
-76,-76
-80,-80
-80,-80
-84,-84
-86,-86
-88,-88
-88,-88
-89,-89
-86,-86
-85,-85
-82,-82
-82,-82
-81,-81
-75,-75
-69,-69
-63,-63
-59,-59
-62,-62
-58,-58
-56,-56
-56,-56
-53,-53
-57,-57
-56,-56
-56,-56
-55,-55
-55,-55
-55,-55
-57,-57
-58,-58
-56,-56
-56,-56
-58,-58
-59,-59
-62,-62
-57,-57
-60,-60
-45,-45
-29,-29
1,1
47,47
108,108
216,216
291,291
374,374
439,439
471,471
440,440
395,395
331,331
257,257
185,185
113,113
73,73
33,33
2,2
-18,-18
-31,-31
-39,-39
-50,-50
-55,-55
-64,-64
-67,-67
-71,-71
-71,-71
-76,-76
-79,-79
-82,-82
-83,-83
-87,-87
-89,-89
-89,-89
-92,-92
-91,-91
-90,-90
-90,-90
-89,-89
-93,-93
-95,-95
-98,-98
-95,-95
-95,-95
-91,-91
-89,-89
-86,-86
-91,-91
-91,-91
-95,-95
-96,-96
-94,-94
-94,-94
-96,-96
-98,-98
-99,-99
-102,-102
-106,-106
-105,-105
-104,-104
-104,-104
-103,-103
-109,-109
-106,-106
-106,-106
-104,-104
-104,-104
-104,-104
-104,-104
-110,-110
-114,-114
-111,-111
-110,-110
-110,-110
-109,-109
-108,-108
-112,-112
-112,-112
-110,-110
-108,-108
-110,-110
-109,-109
-109,-109
-111,-111
-110,-110
-113,-113
-112,-112
-112,-112
-114,-114
-112,-112
-114,-114
-112,-112
-114,-114
-113,-113
-117,-117
-116,-116
-120,-120
-120,-120
-119,-119
-119,-119
-119,-119
