temp [K],c2h2,c2h4,c2h6
300.0,667.4036186530725,218.4006606951879,379.0897436004569
310.0,39.49711137885477,81.06171072577385,111.1229824405332
320.0,22.80366788679453,25.262437319847482,24.80020732395636
330.0,8.420812439949062,4.861758329000054,23.8272684766112
340.0,4.210406219974728,4.210406219974531,14.387080180299035
350.0,11.908827158776223,8.42081243994916,12.636317337723275
360.0,8.062314099339023,10.595956622014086,8.424211558482117
370.0,6.875564565852072,10.871222113819654,8.065568507565064
380.0,8.062314099339194,10.871222113819806,8.424211558482117
390.0,4.86175832899994,8.062314099339194,8.06556850756503
400.0,8.062314099339229,8.420812439949259,15.946775108750417
