power [mW],c2h2,c2h4,c2h6
0.0,5877.866468414999,1152.237372627,530.1458264385
50.0,3930.7322576505,1375.878255761,2057.354419132
100.0,3955.0410492954998,1334.5533099645,2064.6500003485003
150.0,3439.6946664215,1490.1295764925,2609.3867311805006
200.0,3439.6946664214997,1497.422213986,2606.9548707750005
250.0,3257.378729084,1786.6968345615,2606.954870775
300.0,3259.8096082485,1820.7291428644999,2570.4769646925006
