power [mW],c2h2,c2h4,c2h6
50.0,8160.462003880499,0.0,0.0
125.0,6743.259450976999,1242.1799017135,0.0
200.0,3843.2206077285,3981.780720105,0.0
275.0,2810.096962816,5104.846894103999,0.0
