tot_flow [sccm],c2h2,c2h4,c2h6
10.0,4443.64776136,3111.525979214,0.0
20.0,7377.7189129114995,994.2302269345,0.0
30.0,8119.137058083999,607.720439779,0.0
40.0,8495.9233285815,452.1441732509999,0.0
50.0,8768.1817950055,369.494281658,0.0
