gas_comp [frac],c2h2,c2h4,c2h6
"0.01C2H2
0.985Ar
0.005H2",10.595956622014086,4.861758328999997,0.0
"0.01C2H2
0.98Ar
0.01H2",12.631218659923746,8.062314099339117,0.0
"0.01C2H2
0.97Ar
0.02H2",184.5387952490273,113.18607765482324,92.12226180836218
"0.01C2H2
0.94Ar
0.05H2",4.210406219974531,4.210406219974531,35.74090271491689
"0.01C2H2
0.89Ar
0.1H2",4.210406219974531,14.381275080256533,8.06556850756503
"0.01C2H2
0.84Ar
0.15H2",8.420812439949259,14.381275080256541,4.863720811000121
"0.01C2H2
0.79Ar
0.2H2",4.210406219974531,17.52931894412366,8.06556850756503
"0.01C2H2
0.69Ar
0.3H2",8.420812439949259,18.191033964412604,4.212105779241157
"0.01C2H2
0.59Ar
0.4H2",10.595956622014112,15.940340681215346,4.863720811000121
