<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Blayne Hartman
<CLIENT ID>=N2278
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=1ml valve loop
<LAB ID>=
<DESCRIPTION>=FID
<COLUMN>=6' Haysep D
<CARRIER>=N2@10psi
<TEMPERATURE>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN.tem
<EVENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1.evt
<COMPONENTS>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_ch1_FID_COMP.cpt
<SAMPLE>=No injection ECD noise
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>= 9-20-2021
<TIME>=20:32:31
<RATE>=5Hz
<SIZE>=1950
<SAMP WEIGHT>=100.000000
<STD WEIGHT>=4.000000
<CONTROL FILENAME>=C:\Peak489Win10\CONTROL_FILE\HayN_C2H2_Hydrogenation\C2H2_Hydro_HayN_TCD_off.CON
0,0
1,1
3,3
3,3
1,1
-2,-2
0,0
-3,-3
-1,-1
-3,-3
-4,-4
0,0
0,0
0,0
-4,-4
-6,-6
-4,-4
-6,-6
-7,-7
-11,-11
181,181
386,386
140,140
-132,-132
-441,-441
-446,-446
-384,-384
-304,-304
-256,-256
-211,-211
-172,-172
-138,-138
-115,-115
-100,-100
-79,-79
-68,-68
-52,-52
-47,-47
-37,-37
-34,-34
-24,-24
-24,-24
-22,-22
-21,-21
-18,-18
-21,-21
-17,-17
-18,-18
-18,-18
-22,-22
-22,-22
-29,-29
-29,-29
-28,-28
-24,-24
-29,-29
-29,-29
-34,-34
-36,-36
-35,-35
-35,-35
-35,-35
-32,-32
-28,-28
-31,-31
-34,-34
-32,-32
-41,-41
-41,-41
-45,-45
-43,-43
-40,-40
-41,-41
-43,-43
-49,-49
-48,-48
-47,-47
-47,-47
-47,-47
-46,-46
-46,-46
-50,-50
-54,-54
-56,-56
-55,-55
-55,-55
-52,-52
-52,-52
-52,-52
-57,-57
-55,-55
-52,-52
-53,-53
-53,-53
-58,-58
-58,-58
-63,-63
-66,-66
-61,-61
-61,-61
-61,-61
-60,-60
-64,-64
-66,-66
-69,-69
-69,-69
-70,-70
-67,-67
-65,-65
-62,-62
-67,-67
-62,-62
-69,-69
-71,-71
-74,-74
-72,-72
-72,-72
-75,-75
-76,-76
-75,-75
-74,-74
-71,-71
-72,-72
-74,-74
-75,-75
-76,-76
-75,-75
-79,-79
-81,-81
-77,-77
-77,-77
-79,-79
-78,-78
-81,-81
-79,-79
-81,-81
-82,-82
-87,-87
-85,-85
-87,-87
-85,-85
-84,-84
-84,-84
-87,-87
-83,-83
-83,-83
-83,-83
-85,-85
-84,-84
-83,-83
-87,-87
-87,-87
-90,-90
-87,-87
-87,-87
-89,-89
-88,-88
-83,-83
-78,-78
-76,-76
-76,-76
-75,-75
-64,-64
-53,-53
-42,-42
-33,-33
-18,-18
-2,-2
10,10
20,20
25,25
26,26
13,13
2,2
-15,-15
-33,-33
-47,-47
-68,-68
-79,-79
-81,-81
-86,-86
-90,-90
-91,-91
-95,-95
-90,-90
-91,-91
-93,-93
-88,-88
-83,-83
-78,-78
-75,-75
-70,-70
-66,-66
-65,-65
-61,-61
-59,-59
-62,-62
-63,-63
-62,-62
-58,-58
-58,-58
-58,-58
-66,-66
-67,-67
-71,-71
-77,-77
-73,-73
-79,-79
-78,-78
-80,-80
-78,-78
-78,-78
-63,-63
-49,-49
-17,-17
23,23
87,87
190,190
262,262
337,337
390,390
419,419
388,388
347,347
285,285
212,212
147,147
79,79
44,44
8,8
-23,-23
-38,-38
-51,-51
-58,-58
-67,-67
-75,-75
-85,-85
-91,-91
-94,-94
-97,-97
-99,-99
-103,-103
-106,-106
-105,-105
-105,-105
-107,-107
-106,-106
-111,-111
-110,-110
-112,-112
-113,-113
-112,-112
-112,-112
-111,-111
-111,-111
-108,-108
-115,-115
-115,-115
-116,-116
-119,-119
-119,-119
-118,-118
-118,-118
-123,-123
-121,-121
-127,-127
-126,-126
-129,-129
-128,-128
-132,-132
-130,-130
-134,-134
-132,-132
-131,-131
-130,-130
-130,-130
-130,-130
-134,-134
-133,-133
-133,-133
-130,-130
-126,-126
-131,-131
-130,-130
-134,-134
-134,-134
-130,-130
-131,-131
-134,-134
-133,-133
-133,-133
-130,-130
-130,-130
-128,-128
-128,-128
-128,-128
-125,-125
-130,-130
-128,-128
-133,-133
-135,-135
-133,-133
-135,-135
-134,-134
-138,-138
-136,-136
-136,-136
-136,-136
-141,-141
-141,-141
-139,-139
-139,-139
-138,-138
-138,-138
-137,-137
-137,-137
-139,-139
-144,-144
-143,-143
-145,-145
-146,-146
-144,-144
-146,-146
-143,-143
-142,-142
-141,-141
-141,-141
-143,-143
-141,-141
-143,-143
-142,-142
-144,-144
-146,-146
-145,-145
-144,-144
-146,-146
-145,-145
-147,-147
-146,-146
-148,-148
-146,-146
-150,-150
-151,-151
-150,-150
-149,-149
-142,-142
-136,-136
-136,-136
-135,-135
-132,-132
-133,-133
-122,-122
-116,-116
-109,-109
-105,-105
-100,-100
-92,-92
-83,-83
-79,-79
-76,-76
-72,-72
-67,-67
-69,-69
-69,-69
-73,-73
-73,-73
-71,-71
-79,-79
-82,-82
-85,-85
-96,-96
-104,-104
-111,-111
-113,-113
-116,-116
-118,-118
-120,-120
-122,-122
-123,-123
-130,-130
